Item,Category,Project/Area,Context,Next Action,Waiting For,Someday/Maybe,Priority,Status,Energy Level,Time Required,Due Date,Delegated To,Notes
Skills Framework - review details from Anurag (deriving skills from courses),Professional,World Bank Group,@Computer,Review details from Anurag and understand skills derivation approach,Anurag - details on skills framework,,High,Next Action,Medium,30 min,,"Review how courses map to skills, prepare questions for Anurag"
QII project - needs attention,Professional,World Bank Group,@Computer,Schedule dedicated time to review QII project status and requirements,,,Medium,Next Action,High,2 hours,,"Started but not paid attention to - needs catch-up"
Climate Toolkit project - needs attention,Professional,World Bank Group,@Computer,Review Climate Toolkit project status and next steps,,,Medium,Next Action,High,2 hours,,"Started but not paid attention to - needs catch-up"
Gamified experience for sales (Clearbook),Professional,HPE,@Computer,Review current status of Clearbook gamification project,,,High,Next Action,High,1 hour,,"Sales gamification experience"
Cybersecurity project - going live,Professional,CAA,@Office,Prepare for go-live when back from holidays,,,High,Next Action,High,2 hours,,"Going live when back - ensure readiness"
SAP project - going live,Professional,CAA,@Office,Prepare for SAP project go-live,,,High,Next Action,High,2 hours,,"Going live when back - ensure readiness"
Axiom Hub project - going live,Professional,CAA,@Office,Prepare for Axiom Hub go-live,,,High,Next Action,High,2 hours,,"Going live when back - ensure readiness"
Newsletters for Axiom,Professional,CAA,@Computer,,,Yes,Low,Someday/Maybe,Medium,Ongoing,,"Future - when time allows"
Webinar Tours / Digital Learning Tool,Professional,BAT,@Computer,Check current status and next deliverables,,,Medium,Next Action,Medium,1 hour,,
Design Thinking project,Professional,Riyadh Air,@Computer,Review Design Thinking project progress,,,High,Next Action,Medium,1 hour,,
Growing Riyadh Air as an account,Professional,Riyadh Air - Account Growth,@Thinking,Identify 2-3 growth opportunities for Riyadh Air,,,High,Project,High,2 hours,,"Strategic account development"
Safety Sense project,Professional,Riyadh Air,@Computer,Follow up on client feedback status,Client - feedback on Safety Sense,,Medium,Waiting For,Low,30 min,,"Under client feedback"
Social media project,Professional,Riyadh Air,@Computer,Follow up on client feedback status,Client - feedback on social media project,,Medium,Waiting For,Low,30 min,,"Under client feedback"
Think about how to grow AstraZeneca as an account,Professional,AstraZeneca - Account Growth,@Thinking,Research AstraZeneca's L&D priorities and identify expansion opportunities,,,Medium,Project,High,2 hours,,"Strategic account development"
Follow-up on website project proposals,Professional,AstraZeneca,@Computer,Send follow-up email on submitted website proposals,,,Medium,Next Action,Low,15 min,,"Proposals submitted - need follow-up"
Website for Upside Learning,Professional,Upside Marketing,@Computer,Check website project status with marketing team,,,Medium,Next Action,Medium,1 hour,,
Panam Air - SAAB pilot training ideas,Professional,Presales,@Thinking,Brainstorm creative approaches to make 2000-page PDF training engaging,,,High,Next Action,High,2 hours,,"Making technical training interesting"
AI workflows to improve efficiency and quality,Professional,AI Strategic Initiative,@Computer,Document current AI workflow experiments and results,,,High,Project,High,Ongoing,,"Make outputs people actually want to learn from"
How processes change with AI going forward,Professional,AI Strategic Initiative,@Thinking,Draft process evolution roadmap with AI integration points,,,High,Project,High,3 hours,,
Proposals and prototypes using AI for co-creation,Professional,AI Strategic Initiative,@Computer,Create template for AI-assisted proposal co-creation with clients,,,High,Project,High,2 hours,,
Review 2-3 active projects for AI enhancement opportunities,Professional,AI Integration - Weekly,@Computer,Select 2-3 projects and identify AI enhancement possibilities,,,High,Recurring - Weekly,Medium,1 hour,,"Weekly task"
Test new AI tools/workflows (30-60 min daily),Professional,AI Integration - Weekly,@Computer,Set up daily experimentation block in calendar,,,High,Recurring - Daily,Medium,30-60 min,,"Daily experimentation"
